Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1990","1990","ha","4760000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1990","1990","t","13971800","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1991","1991","ha","4575000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1991","1991","t","13202000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1992","1992","ha","5056147","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1992","1992","t","14835000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1993","1993","ha","5486733","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1993","1993","t","16757000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1994","1994","ha","5742090","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1994","1994","t","18192000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1995","1995","ha","6031845","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1995","1995","t","17950000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1996","1996","ha","5767585","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1996","1996","t","17673000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1997","1997","ha","5407414","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1997","1997","t","16651000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1998","1998","ha","5458000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1998","1998","t","17075000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","1999","1999","ha","6209906","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","1999","1999","t","20122000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2000","2000","ha","6301771","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2000","2000","t","21320000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2001","2001","ha","6411036","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2001","2001","t","21912000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2002","2002","ha","6377000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2002","2002","t","21805449","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2003","2003","ha","6528000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2003","2003","t","23135461","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2004","2004","ha","6808000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2004","2004","t","24750973","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2005","2005","ha","7383000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2005","2005","t","27683296","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2006","2006","ha","8074000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2006","2006","t","30923479","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2007","2007","ha","8011000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2007","2007","t","31450808","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2008","2008","ha","8078000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2008","2008","t","32572528","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2009","2009","ha","8058000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2009","2009","t","32681246","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2010","2010","ha","8012000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2010","2010","t","32580000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2011","2011","ha","7567000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2011","2011","t","29010000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2012","2012","ha","6988800","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2012","2012","t","26637800","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2013","2013","ha","6952900","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2013","2013","t","26795300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2014","2014","ha","6869400","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2014","2014","t","26848100","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2015","2015","ha","6769500","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2015","2015","t","26630700","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2016","2016","ha","6724000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2016","2016","t","26085100","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2017","2017","ha","6745500","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2017","2017","t","26035800","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2018","2018","ha","7149300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2018","2018","t","28016100","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2019","2019","ha","6921000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2019","2019","t","26691400","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2020","2020","ha","6830000","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2020","2020","t","26399600","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2021","2021","ha","7043300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2021","2021","t","27438300","A","Official figure",""
"QCL","Crops and livestock products","28","Myanmar","5312","Area harvested","27","Rice","2022","2022","ha","6899300","E","Estimated value",""
"QCL","Crops and livestock products","28","Myanmar","5510","Production","27","Rice","2022","2022","t","24680200","E","Estimated value",""
